Career,Recipe Number,Step,School Kind,Duration,CIP,Sort By,Title,Description
Journalism,1,1,"Community College",2,24.0102,Location,Complete the basics at community college,"Community college is a no-brainer. You’ll save on both tuition and housing costs — as long as you pick a community college close enough that you can live at home.

The two years you’ll spend here will be the most lax two years of your college experience. Take advantage of your free time — consider working for the school paper, or reporting on local sporting events."
,,2,"Degree-granting, primarily baccalaureate or above",2,09.04,ROI,Get your Bachelor’s in Journalism,"In some ways, the most important part of studying journalism in college is everything but studying. The experiences colleges offer — between school papers, reporting on school events, and networking — are at least as important as the degree.

But the degree still counts, and for many journalism jobs you’ll be required to have a Bachelor’s."
